Date,ID,SP,ind,buds,flowers,fruits,max.height.mm,shape.long,shape.90,phen,group,num.focal,lateral,shape,notes
7.28.2016,H001D100,POLE,1,0,0,0,10,8,2,2,P.V,2,5,0.5,.
7.28.2016,H001D100,POCA,2,4,0,0,12,13,3,2,P.V,2,8,0.6666666667,.
7.28.2016,H001D100,VERO,1,0,0,0,32,45,43,4,P.V,2,44,1.375,.
7.28.2016,H001D100,VERO,2,6,0,0,7,21,18,2,P.V,2,19.5,2.7857142857,.
7.28.2016,H001D100,VERO,3,3,0,0,25,55,53,4,P.V,2,54,2.16,.
7.28.2016,H001D100,VERO,4,9,0,0,25,35,31,4,P.V,2,33,1.32,.
7.28.2016,H001D100,VERO,5,2,0,0,18,28,26,4,P.V,2,27,1.5,.
7.28.2016,H001D100,VERO,6,4,0,0,25,30,26,4,P.V,2,28,1.12,.
7.28.2016,H001D100,VERO,7,2,0,0,32,35,28,4,P.V,2,31.5,0.984375,.
7.28.2016,H001D100,VERO,8,5,0,0,28,38,25,4,P.V,2,31.5,1.125,.
7.28.2016,H001D100,VERO,9,9,0,0,39,39,35,4,P.V,2,37,0.9487179487,.
7.28.2016,H001D100,VERO,10,2,0,0,33,35,18,4,P.V,2,26.5,0.803030303,.
8.28.2016,H001D100,VERO,1,21,5,0,69,165,106,6,P.V,2,135.5,1.9637681159,.
8.28.2016,H001D100,VERO,2,4,0,0,22,31,14,5,P.V,2,22.5,1.0227272727,.
8.28.2016,H001D100,VERO,3,18,6,0,47,178,142,6,P.V,2,160,3.4042553191,.
8.28.2016,H001D100,VERO,4,20,2,0,53,106,77,6,P.V,2,91.5,1.7264150943,.
8.28.2016,H001D100,VERO,5,6,0,0,43,58,25,5,P.V,2,41.5,0.9651162791,.
8.28.2016,H001D100,VERO,6,8,1,0,36,47,38,6,P.V,2,42.5,1.1805555556,.
8.28.2016,H001D100,VERO,7,16,3,0,46,110,68,6,P.V,2,89,1.9347826087,.
8.28.2016,H001D100,VERO,8,11,2,0,41,147,40,6,P.V,2,93.5,2.2804878049,.
8.28.2016,H001D100,VERO,9,5,0,0,30,36,32,5,P.V,2,34,1.1333333333,.
8.28.2016,H001D100,VERO,10,12,6,2,44,115,84,8,P.V,2,99.5,2.2613636364,.
8.28.2016,H001D100,POLE,9,1,0,0,38,11,8,4,P.V,2,9.5,0.25,.
8.28.2016,H001D100,POCA,10,0,0,0,3,5,3,.,P.V,2,4,1.3333333333,
8.14.2016,H002D100,VERO,1,5,0,0,32,29,21,4,V,1,25,0.78125,.
8.14.2016,H002D100,VERO,2,3,0,0,40,25,18,4,V,1,21.5,0.5375,.
8.14.2016,H002D100,VERO,3,3,0,0,40,61,43,4,V,1,52,1.3,.
8.14.2016,H002D100,VERO,4,5,0,0,33,24,11,4,V,1,17.5,0.5303030303,.
8.14.2016,H002D100,VERO,5,5,0,0,38,41,38,4,V,1,39.5,1.0394736842,.
8.14.2016,H002D100,VERO,6,4,0,0,29,37,18,4,V,1,27.5,0.9482758621,.
8.14.2016,H002D100,VERO,7,8,0,0,34,68,47,4,V,1,57.5,1.6911764706,.
8.14.2016,H002D100,VERO,8,21,0,0,66,44,35,4,V,1,39.5,0.5984848485,.
8.14.2016,H002D100,VERO,9,1,1,0,56,101,63,6,V,1,82,1.4642857143,.
8.14.2016,H002D100,VERO,10,6,0,0,16,23,16,4,V,1,19.5,1.21875,.
7.24.2016,H003D100,ARCA,1,0,0,0,24,45,8,2,A.PE.P.V,4,26.5,1.1041666667,.
7.24.2016,H003D100,ARCA,2,0,0,0,21,29,4,2,A.PE.P.V,4,16.5,0.7857142857,.
7.24.2016,H003D100,ARCA,3,0,0,0,23,7,4,2,A.PE.P.V,4,5.5,0.2391304348,.
7.24.2016,H003D100,PEAI,1,0,0,0,38,25,11,2,A.PE.P.V,4,18,0.4736842105,.
7.24.2016,H003D100,PEAI,2,0,0,0,36,13,1,2,A.PE.P.V,4,7,0.1944444444,.
7.24.2016,H003D100,PEAI,3,0,0,0,31,25,3,2,A.PE.P.V,4,14,0.4516129032,.
7.24.2016,H003D100,PEAI,4,0,0,0,35,17,6,2,A.PE.P.V,4,11.5,0.3285714286,.
7.24.2016,H003D100,PEAI,5,0,0,0,40,27,1,2,A.PE.P.V,4,14,0.35,.
7.24.2016,H003D100,PEAI,6,0,0,0,30,30,1,2,A.PE.P.V,4,15.5,0.5166666667,.
7.24.2016,H003D100,PEAI,7,0,0,0,30,8,1,2,A.PE.P.V,4,4.5,0.15,.
7.24.2016,H003D100,PEAI,8,0,0,0,31,15,15,2,A.PE.P.V,4,15,0.4838709677,.
7.24.2016,H003D100,PEAI,9,0,0,0,35,36,1,2,A.PE.P.V,4,18.5,0.5285714286,.
7.24.2016,H003D100,PEAI,10,0,0,0,35,15,2,2,A.PE.P.V,4,8.5,0.2428571429,.
7.24.2016,H003D100,POCA,1,0,0,0,27,20,11,2,A.PE.P.V,4,15.5,0.5740740741,.
7.24.2016,H003D100,POCA,2,0,0,0,20,18,2,2,A.PE.P.V,4,10,0.5,.
7.24.2016,H003D100,VERO,1,1,0,0,19,32,30,4,A.PE.P.V,4,31,1.6315789474,.
7.24.2016,H003D100,VERO,2,0,0,0,8,26,5,2,A.PE.P.V,4,15.5,1.9375,.
7.24.2016,H003D100,VERO,3,0,0,0,11,21,6,2,A.PE.P.V,4,13.5,1.2272727273,.
7.24.2016,H003D100,VERO,4,1,0,0,11,33,34,4,A.PE.P.V,4,33.5,3.0454545455,.
